ime,lema,postag
Aaronson,Aaronson,Np-sn
Abadžić,Abadžić,Np-sn
Abadžija,Abadžija,Np-sn
Abaffy,Abaffy,Np-sn
Abalić,Abalić,Np-sn
Abatinović,Abatinović,Np-sn
Abaz,Abaz,Np-sn
Abaza,Abaza,Np-sn
Abazi,Abazi,Np-sn
Abazović,Abazović,Np-sn
Abdagić,Abdagić,Np-sn
Abdalla,Abdalla,Np-sn
Abdelghani,Abdelghani,Np-sn
Abdi,Abdi,Np-sn
Abdičević,Abdičević,Np-sn
Abdić,Abdić,Np-sn
Abdihodžić,Abdihodžić,Np-sn
Abdii,Abdii,Np-sn
Abdija,Abdija,Np-sn
Abdijanović,Abdijanović,Np-sn
Abdiji,Abdiji,Np-sn
Abdilji,Abdilji,Np-sn
Abdulahi,Abdulahi,Np-sn
Abdulahović,Abdulahović,Np-sn
Abdulahu,Abdulahu,Np-sn
Abdulai,Abdulai,Np-sn
Abdulaj,Abdulaj,Np-sn
Abduli,Abduli,Np-sn
Abdullahu,Abdullahu,Np-sn
Abdulmar,Abdulmar,Np-sn
Abdulov,Abdulov,Np-sn
Abdulova,Abdulova,Np-sn
Abdulovska,Abdulovska,Np-sn
Abdulovski,Abdulovski,Np-sn
Abdulwahid,Abdulwahid,Np-sn
Abdurahimi,Abdurahimi,Np-sn
Abdurahman,Abdurahman,Np-sn
Abdurahmanović,Abdurahmanović,Np-sn
Abduraimi,Abduraimi,Np-sn
Abed,Abed,Np-sn
Abel,Abel,Np-sn
Aberle,Aberle,Np-sn
Aberlić,Aberlić,Np-sn
Abfal,Abfal,Np-sn
Abianac,Abianac,Np-sn
Abibović,Abibović,Np-sn
Abičić,Abičić,Np-sn
Abićić,Abićić,Np-sn
Abidini,Abidini,Np-sn
Abidović,Abidović,Np-sn
Abijanac,Abijanac,Np-sn
Abinun,Abinun,Np-sn
Abjamović,Abjamović,Np-sn
Abjanić,Abjanić,Np-sn
Abjanović,Abjanović,Np-sn
Abondanca,Abondanca,Np-sn
Aboud,Aboud,Np-sn
Aboulogma,Aboulogma,Np-sn
Abraham,Abraham,Np-sn
Abrahamsberg,Abrahamsberg,Np-sn
Abram,Abram,Np-sn
Abramac,Abramac,Np-sn
Abramc,Abramc,Np-sn
Abramić,Abramić,Np-sn
Abramov,Abramov,Np-sn
Abramović,Abramović,Np-sn
Abramuša,Abramuša,Np-sn
Abramušić,Abramušić,Np-sn
Abrashi,Abrashi,Np-sn
Abrić,Abrić,Np-sn
Abrlić,Abrlić,Np-sn
Abrus,Abrus,Np-sn
Abuselyana,Abuselyana,Np-sn
Abut,Abut,Np-sn
Abutić,Abutić,Np-sn
