Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo zdravstva,"Savjetovanje o Nacrtu Odluke o utvrđivanju ovlaštenih zdravstvenih ustanova u kojima se obavlja stručna procjena radi ostvarivanja statusa hrvatskog ratnog vojnog invalida po osnovi bolesti, pogoršanja bolesti odnosno pojave bolesti kao posljedice sudjelovanja u obrani suvereniteta Republike Hrvatske, za 2019. godinu",NA,01.03.2019.,16.03.2019.,16.04.2019.,Otvoren,/Documents/List/10413,/ECon/MainScreen?entityId=10413,10413
"Ministarstvo mora, prometa i infrastrukture","Javno savjetovanje o Prijedlogu Pravilnika o službenoj iskaznici i znački, opremi i službenoj odjeći inspektora cestovnog prometa i inspektora cesta, označavanju vozila inspekcije cestovnog prometa i cesta te načinu zaustavljanja vozila radi nadzora",NA,01.03.2019.,01.04.2019.,22.04.2019.,Otvoren,/Documents/List/10416,/ECon/MainScreen?entityId=10416,10416
Ministarstvo znanosti i obrazovanja,"Savjetovanje sa zainteresiranom javnosti o Prijedlogu ključnih elemenata poziva za dostavu projektnih prijedloga 'Uspostava regionalnih centara kompetentnosti u strukovnom obrazovanju u (pod)sektorima: Strojarstvo, elektrotehnika i računalstvo, poljoprivreda i zdravstvo'",NA,01.03.2019.,25.03.2019.,30.04.2019.,Otvoren,/Documents/List/10418,/ECon/MainScreen?entityId=10418,10418
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O PLANU IMPLEMENTACIJE GARANCIJA ZA MLADE ZA RAZDOBLJE OD 2019. DO 2020. GODINE,NA,01.03.2019.,30.03.2019.,01.04.2019.,Otvoren,/Documents/List/10425,/ECon/MainScreen?entityId=10425,10425
"Ministarstvo gospodarstva, poduzetništva i obrta",#2 Savjetovanje o Pravilniku o izmjenama i dopunama Pravilnika o ograničavanju uporabe određenih opasnih tvari u električnoj i elektroničkoj opremi,NA,27.02.2019.,14.03.2019.,17.03.2019.,Otvoren,/Documents/List/10404,/ECon/MainScreen?entityId=10404,10404
Ministarstvo turizma,Nacrt ključnih elemenata ESF poziva na dostavu projektnih prijedloga „Uspostava regionalnih centara kompetentnosti u sektoru turizma i ugostiteljstva“,NA,26.02.2019.,12.03.2019.,01.04.2019.,Otvoren,/Documents/List/10396,/ECon/MainScreen?entityId=10396,10396
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o Odluci o dopuni Odluke o donošenju kurikuluma za nastavni predmet Hrvatski jezik za srednje strukovne škole na razini 4.2. u Republici Hrvatskoj,NA,26.02.2019.,05.03.2019.,01.04.2019.,Otvoren,/Documents/List/10399,/ECon/MainScreen?entityId=10399,10399
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama Pravilnika o sadržaju, načinu i obliku registracije farmi",NA,26.02.2019.,12.03.2019.,19.03.2019.,Otvoren,/Documents/List/10401,/ECon/MainScreen?entityId=10401,10401
Ministarstvo pravosuđa,Prijedlog o uvjetima i postupku predlaganja kandidata za imenovanje europskog tužitelja,NA,25.02.2019.,05.03.2019.,19.03.2019.,Otvoren,/Documents/List/10388,/ECon/MainScreen?entityId=10388,10388
Ministarstvo unutarnjih poslova,Prijedlog Pravilnika o izmjenama i dopunama Pravilnika o prijamu i postupanju s uhićenikom i pritvorenikom te o Evidenciji pritvorenika u pritvorskoj policijskoj jedinici,NA,25.02.2019.,11.03.2019.,11.04.2019.,Otvoren,/Documents/List/10393,/ECon/MainScreen?entityId=10393,10393
Ministarstvo poljoprivrede,Nacrt prijedloga Nacionalnog pčelarskog programa za razdoblje od 2020. do 2022.,NA,25.02.2019.,06.03.2019.,08.03.2019.,Otvoren,/Documents/List/10394,/ECon/MainScreen?entityId=10394,10394
Ministarstvo zaštite okoliša i energetike,Nacrt prijedloga Pravilnika o izmjenama i dopunama Pravilnika o gospodarenju medicinskim otpadom,NA,25.02.2019.,26.03.2019.,15.04.2019.,Otvoren,/Documents/List/10208,/ECon/MainScreen?entityId=10208,10208
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Prijedlog Zakona o izmjenama i dopunama Zakona o društveno poticanoj stanogradnji,NA,22.02.2019.,23.03.2019.,01.06.2019.,Otvoren,/Documents/List/10375,/ECon/MainScreen?entityId=10375,10375
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Obrascu prethodne procjene za Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o prijevozu u cestovnom prometu,NA,22.02.2019.,11.03.2019.,29.03.2019.,Otvoren,/Documents/List/10377,/ECon/MainScreen?entityId=10377,10377
Ministarstvo zdravstva,Savjetovanje o Nacrtu pravilnika o osiguranju kvalitete krvi i krvnih pripravaka u zdravstvenim ustanovama,NA,22.02.2019.,24.03.2019.,24.04.2019.,Otvoren,/Documents/List/10380,/ECon/MainScreen?entityId=10380,10380
Hrvatska agencija za nadzor financijskih usluga,"Savjetovanje o nacrtu prijedloga Pravilnika o obliku, sadržaju, rokovima i načinu dostavljanja izvještaja o transakcijama i trgovanju s financijskim instrumentima izvršenim na uređenom tržištu kojim upravlja burza",NA,22.02.2019.,15.03.2019.,25.03.2019.,Otvoren,/Documents/List/10382,/ECon/MainScreen?entityId=10382,10382
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Tehničke upute za izradu i dostavu izvještaja o transakcijama i trgovanju s financijskim instrumentima izvršenim na uređenom tržištu kojim upravlja burza u elektroničkom obliku,NA,22.02.2019.,15.03.2019.,25.03.2019.,Otvoren,/Documents/List/10383,/ECon/MainScreen?entityId=10383,10383
Ministarstvo uprave,Savjetovanje sa zainteresiranom javnošću o Prijedlogu zakona o sustavu državne uprave,NA,22.02.2019.,08.03.2019.,11.03.2019.,Otvoren,/Documents/List/10385,/ECon/MainScreen?entityId=10385,10385
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o nacrtu Uputa za prijavitelje Poziva na dostavu projektnih prijedloga 'Usluge za MSP-ove putem poduzetničkih potpornih institucija (PPI)',NA,20.02.2019.,20.03.2019.,26.03.2019.,Otvoren,/Documents/List/10352,/ECon/MainScreen?entityId=10352,10352
Ministarstvo poljoprivrede,"Prijedlog pravilnika o uvjetima, kriterijima, načinu odabira, financiranja i provedbe lokalnih razvojnih strategija u ribarstvu",NA,20.02.2019.,02.03.2019.,04.03.2019.,Otvoren,/Documents/List/10361,/ECon/MainScreen?entityId=10361,10361
Ministarstvo državne imovine,Strategija upravljanja državnom imovinom za razdoblje od 2018. do 2024.,NA,20.02.2019.,22.03.2019.,21.04.2019.,Otvoren,/Documents/List/10368,/ECon/MainScreen?entityId=10368,10368
Središnji državni ured za Hrvate izvan Republike Hrvatske,Obrazloženje prijedloga odluke o proglašenju „Dana Hrvata izvan Republike Hrvatske“,NA,20.02.2019.,07.03.2019.,07.04.2019.,Otvoren,/Documents/List/10370,/ECon/MainScreen?entityId=10370,10370
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Konačni prijedlog Zakona o izmjenama i dopunama Zakona o gradnji,NA,19.02.2019.,20.03.2019.,01.06.2019.,Otvoren,/Documents/List/10354,/ECon/MainScreen?entityId=10354,10354
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Konačni prijedlog Zakona o izmjenama i dopunama Zakona o prostornom uređenju,NA,19.02.2019.,20.03.2019.,01.06.2019.,Otvoren,/Documents/List/10358,/ECon/MainScreen?entityId=10358,10358
Ministarstvo kulture,NACIONALNI PLAN DIGITALIZACIJE KULTURNE BAŠTINE 2025,NA,19.02.2019.,21.03.2019.,21.05.2019.,Otvoren,/Documents/List/10350,/ECon/MainScreen?entityId=10350,10350
Ministarstvo pravosuđa,Savjetovanje o Prijedlogu Zakona o izmjenama i dopunama Zakona o pravosudnoj suradnji u kaznenim stvarima s državama članicama europske unije,NA,18.02.2019.,05.03.2019.,19.03.2019.,Otvoren,/Documents/List/10341,/ECon/MainScreen?entityId=10341,10341
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o nacrtu Pravilnika o organizaciji i provedbi produženog boravka u osnovnoj školi,NA,18.02.2019.,20.03.2019.,30.04.2019.,Otvoren,/Documents/List/10344,/ECon/MainScreen?entityId=10344,10344
"Ministarstvo za demografiju, obitelj, mlade i socijalnu politiku",Nacrt prijedloga Pravilnika o načinu vođenja evidencije i dokumentacije te načinu i rokovima dostave izvješća jedinice lokalne i područne (regionalne) samouprave,NA,18.02.2019.,19.03.2019.,03.04.2019.,Otvoren,/Documents/List/10348,/ECon/MainScreen?entityId=10348,10348
Ministarstvo zaštite okoliša i energetike,"Nacrt prijedloga zakona o izmjenama Zakona o istraživanju i eksploataciji ugljikovodika, s konačnim prijedlogom zakona s Obrascem prethodne procjene učinaka propisa",NA,15.02.2019.,01.03.2019.,08.03.2019.,Zatvoren,/Documents/List/10310,/ECon/MainScreen?entityId=10310,10310
Ministarstvo financija,"Savjetovanje sa zainteresiranom javnošću o Prijedlogu zakona o izmjenama i dopunama zakona o carinskoj službi, s konačnim prijedlogom zakona",NA,15.02.2019.,05.03.2019.,11.03.2019.,Otvoren,/Documents/List/10318,/ECon/MainScreen?entityId=10318,10318
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Nacrt prijedloga programa potpore za proizvođače šećerne repe za razdoblje od 2019. do 2021. godine,NA,15.02.2019.,02.03.2019.,04.03.2019.,Otvoren,/Documents/List/10319,/ECon/MainScreen?entityId=10319,10319
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetovanje sa zainteresiranom javnošću o Nacrtu pravilnika o vrsti i visini naknada za usluge zaprimanja i slanja elektroničkih računa za javne naručitelje u javnoj nabavi,NA,15.02.2019.,04.03.2019.,08.03.2019.,Otvoren,/Documents/List/10320,/ECon/MainScreen?entityId=10320,10320
"Ministarstvo gospodarstva, poduzetništva i obrta","Savjetovanje sa zainteresiranom javnošću o Nacrtu pravilnika o tehničkim elementima, izdavanju i razmjeni elektroničkog računa i pratećih isprava u javnoj nabavi",NA,15.02.2019.,04.03.2019.,08.03.2019.,Otvoren,/Documents/List/10323,/ECon/MainScreen?entityId=10323,10323
Ministarstvo graditeljstva i prostornoga uređenja,Savjetovanje s javnošću za Pravilnik o izmjenama i dopunama Pravilnika o jednostavnim i drugim građevinama i radovima,NA,15.02.2019.,16.03.2019.,01.05.2019.,Otvoren,/Documents/List/10328,/ECon/MainScreen?entityId=10328,10328
