"Institucija";"Naslov";"IzvjescaURL";"DatumOtvaranja";"DatumZatvaranja";"OcekivanaObjavaIzvjesca";"Stanje";"DokumentiURL";"SavjetovanjeURL";"ID"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu Pravilnika o zdravstvenim uvjetima izloženih radnika i osoba koje se obucavaju za rad u podrucju izloženosti";NA;"12.01.2018.";"12.02.2018.";"12.03.2018.";"Otvoren";"/Documents/List/6758";"/ECon/MainScreen?entityId=6758";"6758"
"Državni zavod za radiološku i nuklearnu sigurnost";"Savjetovanje o nacrtu Pravilnika o ovlašcivanju strucnih tehnickih servisa za obavljanje poslova radiološke sigurnosti";NA;"12.01.2018.";"12.02.2018.";"12.03.2018.";"Otvoren";"/Documents/List/6762";"/ECon/MainScreen?entityId=6762";"6762"
"Ured Vijeca za nacionalnu sigurnost";"Savjetovanje o Nacrtu prijedloga zakona o kibernetickoj sigurnosti operatora kljucnih usluga i davatelja digitalnih usluga s konacnim prijedlogom zakona";NA;"12.01.2018.";"10.02.2018.";"14.02.2018.";"Otvoren";"/Documents/List/6782";"/ECon/MainScreen?entityId=6782";"6782"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o vodenju evidencije udruga iz Domovinskog rata te suradnji i potpori udrugama iz Domovinskog rata";NA;"12.01.2018.";"26.01.2018.";"30.04.2018.";"Otvoren";"/Documents/List/6784";"/ECon/MainScreen?entityId=6784";"6784"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o evidenciji hrvatskih branitelja iz Domovinskog rata";NA;"12.01.2018.";"26.01.2018.";"30.04.2018.";"Otvoren";"/Documents/List/6786";"/ECon/MainScreen?entityId=6786";"6786"
"Ministarstvo hrvatskih branitelja";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o nacinu ostvarivanja prava na prilagodbu prilaza do zgrade, prilagodbu prilaza do stana u zgradi i prilagodbu stana za djecu smrtno stradaloga ili nestaloga hrvatskog branitelja iz Domovinskog rata i hrvatske ratne vojne invalide iz Domovinskog rata";NA;"12.01.2018.";"26.01.2018.";"30.04.2018.";"Otvoren";"/Documents/List/6788";"/ECon/MainScreen?entityId=6788";"6788"
"Ministarstvo državne imovine";"Obrazac prethodne procjene ucinaka propisa za Zakon o Središnjem registru državne imovine";NA;"12.01.2018.";"27.01.2018.";"11.02.2018.";"Otvoren";"/Documents/List/6792";"/ECon/MainScreen?entityId=6792";"6792"
"Ministarstvo rada i mirovinskoga sustava";"Savjetovanje o prethodnoj procjeni Zakona o izmjenama i dopunama zakona o mirovinskim osiguravajucim društvima";NA;"12.01.2018.";"26.01.2018.";"30.01.2018.";"Otvoren";"/Documents/List/6794";"/ECon/MainScreen?entityId=6794";"6794"
"Ministarstvo rada i mirovinskoga sustava";"Savjetovanje o prethodnoj procjeni ZakonA o izmjenama i dopunama Zakona o dobrovoljnim mirovinskim fondovima, s konacnim prijedlogom zakona";NA;"12.01.2018.";"26.01.2018.";"30.01.2018.";"Otvoren";"/Documents/List/6796";"/ECon/MainScreen?entityId=6796";"6796"
"Ministarstvo poljoprivrede";"Savjetovanje s javnošcu na Prijedlog Pravilnika o provedbi mjere Informiranje u državama clanicama iz Nacionalnog programa pomoci sektoru vina 2014. – 2018.";NA;"11.01.2018.";"27.01.2018.";"09.02.2018.";"Otvoren";"/Documents/List/6769";"/ECon/MainScreen?entityId=6769";"6769"
